Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key
LGHUB Agent,Application,Render,Synaptics HD Audio,,,,,No,,50.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{26d9f464-f459-4a47-83e0-a9b0a2a369aa}|\Device\HarddiskVolume4\Program Files\LGHUB\lghub_agent.exe%b{00000000-0000-0000-0000-000000000000}|1%b11716,Synaptics HD Audio\Application\LGHUB Agent,C:\Program Files\LGHUB\lghub_agent.exe,11716,,
Microphone,Device,Capture,Yeti Classic,,,Capture,Active,No,1.54 dB,50.0%,-8.00 dB,14.00 dB,0.06 dB,2,"1.54 dB, 1.54 dB","50.0%, 50.0%",{0.0.1.00000000}.{df9547cb-ce96-48b9-82f9-bd90ce6d1f9f},Yeti Classic\Device\Microphone\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{df9547cb-ce96-48b9-82f9-bd90ce6d1f9f}
Microphone,Device,Capture,Logitech PRO X Gaming Headset,Capture,Capture,,Active,No,-5.21 dB,50.0%,-30.00 dB,5.00 dB,1.00 dB,1,-5.21 dB,50.0%,{0.0.1.00000000}.{26d9f464-f459-4a47-83e0-a9b0a2a369aa},Logitech PRO X Gaming Headset\Device\Microphone\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{26d9f464-f459-4a47-83e0-a9b0a2a369aa}
Python,Application,Render,Synaptics HD Audio,,,,,No,,50.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{26d9f464-f459-4a47-83e0-a9b0a2a369aa}|\Device\HarddiskVolume4\Users\cpqpqa\AppData\Local\Programs\Python\Python38\python.exe%b{00000000-0000-0000-0000-000000000000}|1%b7272,Synaptics HD Audio\Application\Python,C:\Users\cpqpqa\AppData\Local\Programs\Python\Python38\python.exe,7272,,
Speakers,Device,Render,Logitech PRO X Gaming Headset,Render,Render,,Active,No,-6.34 dB,50.0%,-50.00 dB,5.00 dB,1.00 dB,1,-6.34 dB,50.0%,{0.0.0.00000000}.{a384565c-09f4-4e8b-b386-cdd23b27fa6e},Logitech PRO X Gaming Headset\Device\Speakers\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{a384565c-09f4-4e8b-b386-cdd23b27fa6e}
Speakers,Device,Render,Yeti Classic,,,Render,Active,No,-17.64 dB,26.0%,-40.00 dB,0.00 dB,0.06 dB,2,"-17.64 dB, -17.64 dB","26.0%, 26.0%",{0.0.0.00000000}.{6f7c34dc-0612-4875-8dcb-3b0a678528de},Yeti Classic\Device\Speakers\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{6f7c34dc-0612-4875-8dcb-3b0a678528de}
Speakers,Device,Render,Synaptics HD Audio,,,,Active,No,-10.42 dB,50.0%,-74.00 dB,0.00 dB,0.03 dB,2,"-10.42 dB, -10.42 dB","50.0%, 50.0%",{0.0.0.00000000}.{334e191f-5c3a-4098-98c3-b78b3c84f7d5},Synaptics HD Audio\Device\Speakers\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{334e191f-5c3a-4098-98c3-b78b3c84f7d5}
Speakers,Subunit,Capture,Yeti Classic,,,,,No,,70.4%,-30.00 dB,7.00 dB,0.06 dB,2,"4.00 dB, 4.00 dB","70.4%, 70.4%",{2}.\\?\usb#vid_b58e&pid_9e84&mi_00#7&182440c2&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/0002000a,Yeti Classic\Subunit\Speakers,,,,
Speakers,Subunit,Capture,Yeti Classic,,,,,No,,12.2%,-40.00 dB,0.00 dB,0.06 dB,2,"-17.64 dB, -17.64 dB","12.2%, 12.2%",{2}.\\?\usb#vid_b58e&pid_9e84&mi_00#7&182440c2&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020006,Yeti Classic\Subunit\Speakers,,,,
Stereo Mix,Device,Capture,Synaptics HD Audio,,,,Disabled,No,0.00 dB,64.6%,-96.00 dB,12.00 dB,0.03 dB,2,"0.00 dB, 0.00 dB","64.6%, 64.6%",{0.0.1.00000000}.{ef45aad8-e18c-4e0f-88f7-bc9442b092b8},Synaptics HD Audio\Device\Stereo Mix\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{ef45aad8-e18c-4e0f-88f7-bc9442b092b8}
System Sounds,Application,Render,Synaptics HD Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{df9547cb-ce96-48b9-82f9-bd90ce6d1f9f}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Synaptics HD Audio\Application\System Sounds,,,,
System Sounds,Application,Render,Synaptics HD Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{ef45aad8-e18c-4e0f-88f7-bc9442b092b8}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Synaptics HD Audio\Application\System Sounds,,,,
System Sounds,Application,Render,Synaptics HD Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{334e191f-5c3a-4098-98c3-b78b3c84f7d5}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Synaptics HD Audio\Application\System Sounds,,,,
System Sounds,Application,Render,Synaptics HD Audio,,,,,No,,100.0%,,,0.00 dB,8,,"100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%",{0.0.0.00000000}.{6f7c34dc-0612-4875-8dcb-3b0a678528de}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Synaptics HD Audio\Application\System Sounds,,,,
System Sounds,Application,Render,Synaptics HD Audio,,,,,No,,100.0%,,,0.00 dB,8,,"100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%",{0.0.0.00000000}.{a384565c-09f4-4e8b-b386-cdd23b27fa6e}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Synaptics HD Audio\Application\System Sounds,,,,
System Sounds,Application,Render,Synaptics HD Audio,,,,,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{26d9f464-f459-4a47-83e0-a9b0a2a369aa}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Synaptics HD Audio\Application\System Sounds,,,,
Volume,Subunit,Render,Logitech PRO X Gaming Headset,,,,,No,,27.0%,-50.00 dB,5.00 dB,1.00 dB,1,-6.34 dB,27.0%,{2}.\\?\usb#vid_046d&pid_0aaa&mi_00#9&26545131&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020007,Logitech PRO X Gaming Headset\Subunit\Volume,,,,
