Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key
Capture,Subunit,Capture,Logitech StreamCam,,,,,No,,100.0%,18.00 dB,54.00 dB,0.50 dB,1,54.00 dB,100.0%,{2}.\\?\usb#vid_046d&pid_0893&mi_02#6&1c7fc66f&0&0002#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020003,Logitech StreamCam\Subunit\Capture,,,,
Line 1,Device,Render,Virtual Audio Cable,Render,Render,,Active,No,-3.22 dB,50.0%,-40.00 dB,12.00 dB,1.00 dB,8,"-3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB","50.0%, 50.0%, 50.0%, 50.0%, 50.0%, 50.0%, 50.0%, 50.0%",{0.0.0.00000000}.{972d3172-db3c-4b71-bb75-ba5708400200},Virtual Audio Cable\Device\Line 1\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{972d3172-db3c-4b71-bb75-ba5708400200}
Line 1,Device,Capture,Virtual Audio Cable,Capture,Capture,,Active,No,-3.22 dB,50.0%,-40.00 dB,12.00 dB,1.00 dB,8,"-3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB","50.0%, 50.0%, 50.0%, 50.0%, 50.0%, 50.0%, 50.0%, 50.0%",{0.0.1.00000000}.{7a981aba-86e6-4d0f-9cfe-b5b898ad33ea},Virtual Audio Cable\Device\Line 1\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{7a981aba-86e6-4d0f-9cfe-b5b898ad33ea}
Mic Volume,Subunit,Capture,Intel® Smart Sound Technology (Intel® SST),,,,,No,,100.0%,-95.76 dB,30.24 dB,1.26 dB,2,"30.24 dB, 30.24 dB","100.0%, 100.0%",{2}.\\?\intelaudio#ctlr_dev_06c8&linktype_02&devtype_00&ven_8086&dev_ae20&subsys_878c103c&rev_10ec#5&16a4de53&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\intcdmictopo_2 _48_16_0/00020000,Intel® Smart Sound Technology (Intel® SST)\Subunit\Mic Volume,,,,
Microphone,Device,Capture,Logitech StreamCam,,,Capture,Active,No,54.00 dB,100.0%,18.00 dB,54.00 dB,0.50 dB,1,54.00 dB,100.0%,{0.0.1.00000000}.{4c385b4d-5928-406d-bdbe-3b2ef0cca753},Logitech StreamCam\Device\Microphone\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{4c385b4d-5928-406d-bdbe-3b2ef0cca753}
Microphone Array,Device,Capture,Intel® Smart Sound Technology (Intel® SST),,,,Active,No,30.24 dB,100.0%,-95.76 dB,30.24 dB,1.26 dB,2,"30.24 dB, 30.24 dB","100.0%, 100.0%",{0.0.1.00000000}.{71e09c16-51f0-465e-9b7a-48b42cbd208c},Intel® Smart Sound Technology (Intel® SST)\Device\Microphone Array\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{71e09c16-51f0-465e-9b7a-48b42cbd208c}
"Pin 0, no line",Subunit,Capture,Virtual Audio Cable,,,,,No,,17.1%,-40.00 dB,12.00 dB,1.00 dB,8,"-3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB","17.1%, 17.1%, 17.1%, 17.1%, 17.1%, 17.1%, 17.1%, 17.1%",{2}.\\?\root#{83ed7f0e-2028-4956-b0b4-39c76fdaef1d}#0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topo1_c_rt/00020004,"Virtual Audio Cable\Subunit\Pin 0, no line",,,,
"Pin 1, no line",Subunit,Render,Virtual Audio Cable,,,,,No,,17.1%,-40.00 dB,12.00 dB,1.00 dB,8,"-3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB","17.1%, 17.1%, 17.1%, 17.1%, 17.1%, 17.1%, 17.1%, 17.1%",{2}.\\?\root#{83ed7f0e-2028-4956-b0b4-39c76fdaef1d}#0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topo1_r_rt/00020000,"Virtual Audio Cable\Subunit\Pin 1, no line",,,,
Speaker,Device,Render,Realtek(R) Audio,,,Render,Active,No,-6.00 dB,66.9%,-65.25 dB,0.00 dB,0.03 dB,2,"-6.00 dB, -6.00 dB","66.9%, 66.9%",{0.0.0.00000000}.{fa37faaf-de18-484b-9228-b8eeac0bbca9},Realtek(R) Audio\Device\Speaker\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{fa37faaf-de18-484b-9228-b8eeac0bbca9}
Speakers,Subunit,Render,Realtek(R) Audio,,,,,No,,50.1%,-65.25 dB,0.00 dB,0.03 dB,2,"-6.00 dB, -6.00 dB","50.1%, 50.1%",{2}.\\?\intelaudio#func_01&ven_10ec&dev_0245&subsys_103c878c&rev_1000#5&16a4de53&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\singlelineouttopo/00020000,Realtek(R) Audio\Subunit\Speakers,,,,
