Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key
Capture,Subunit,Capture,Logitech PRO X Wireless Gaming Headset,,,,,Yes,,16.4%,-64.00 dB,3.00 dB,1.00 dB,1,-12.69 dB,16.4%,{2}.\\?\usb#vid_046d&pid_0aba&mi_00#8&30996b33&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020002,Logitech PRO X Wireless Gaming Headset\Subunit\Capture,,,,
Headphone,Device,Render,Realtek(R) Audio,,,,Active,No,0.00 dB,100.0%,-65.25 dB,0.00 dB,0.03 dB,2,"0.00 dB, 0.00 dB","100.0%, 100.0%",{0.0.0.00000000}.{f6036e6a-e1db-49b0-8813-057f5f06af9d},Realtek(R) Audio\Device\Headphone\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{f6036e6a-e1db-49b0-8813-057f5f06af9d}
Headset Microphone,Device,Capture,Realtek(R) Audio,,,,Active,Yes,7.75 dB,70.0%,-17.25 dB,30.00 dB,0.03 dB,2,"7.75 dB, 7.75 dB","70.0%, 70.0%",{0.0.1.00000000}.{cdba6cef-7e4a-44c6-8cfc-8ae5a07181ef},Realtek(R) Audio\Device\Headset Microphone\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{cdba6cef-7e4a-44c6-8cfc-8ae5a07181ef}
LGHUB,Application,Render,Logitech PRO X Wireless Gaming Headset,,,,,Yes,,36.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{c0bf1ea7-6984-4fc5-b450-4b496ec4d330}|\Device\HarddiskVolume3\Program Files\LGHUB\lghub.exe%b{00000000-0000-0000-0000-000000000000}|1%b11860,Logitech PRO X Wireless Gaming Headset\Application\LGHUB,C:\Program Files\LGHUB\lghub.exe,11860,,
LGHUB,Application,Render,Logitech PRO X Wireless Gaming Headset,,,,,No,,100.0%,,,0.00 dB,8,,"100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%",{0.0.0.00000000}.{1d0ef2bf-86ab-4424-92e8-f23b3bfff1eb}|\Device\HarddiskVolume3\Program Files\LGHUB\lghub.exe%b{00000000-0000-0000-0000-000000000000}|1%b11860,Logitech PRO X Wireless Gaming Headset\Application\LGHUB,C:\Program Files\LGHUB\lghub.exe,11860,,
LGHUB Agent,Application,Render,Logitech PRO X Wireless Gaming Headset,,,,,Yes,,36.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{c0bf1ea7-6984-4fc5-b450-4b496ec4d330}|\Device\HarddiskVolume3\Program Files\LGHUB\lghub_agent.exe%b{00000000-0000-0000-0000-000000000000}|1%b16288,Logitech PRO X Wireless Gaming Headset\Application\LGHUB Agent,C:\Program Files\LGHUB\lghub_agent.exe,16288,,
Mic Volume,Subunit,Capture,Intel® Smart Sound Technology for Digital Microphones,,,,,Yes,,56.0%,-95.76 dB,30.24 dB,1.26 dB,2,"25.20 dB, 25.20 dB","56.0%, 56.0%",{2}.\\?\intelaudio#ctlr_dev_a0c8&linktype_02&devtype_00&ven_8086&dev_ae20&subsys_87c9103c&rev_10ec#5&21befa87&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\intcdmictopo_2 _48_16_0/00020000,Intel® Smart Sound Technology for Digital Microphones\Subunit\Mic Volume,,,,
Microphone,Subunit,Capture,Realtek(R) Audio,,,,,No,,7.3%,-17.25 dB,30.00 dB,0.03 dB,2,"7.75 dB, 7.75 dB","7.3%, 7.3%",{2}.\\?\intelaudio#func_01&ven_10ec&dev_0287&subsys_103c87c9&rev_1000#5&21befa87&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\rtmicintopo/00020000,Realtek(R) Audio\Subunit\Microphone,,,,
Microphone,Device,Capture,Logitech PRO X Wireless Gaming Headset,Capture,Capture,Capture,Active,Yes,-12.69 dB,36.0%,-64.00 dB,3.00 dB,1.00 dB,1,-12.69 dB,36.0%,{0.0.1.00000000}.{c0bf1ea7-6984-4fc5-b450-4b496ec4d330},Logitech PRO X Wireless Gaming Headset\Device\Microphone\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{c0bf1ea7-6984-4fc5-b450-4b496ec4d330}
Microphone Array,Device,Capture,Intel® Smart Sound Technology for Digital Microphones,,,,Active,Yes,25.20 dB,97.1%,-95.76 dB,30.24 dB,1.26 dB,2,"25.20 dB, 25.20 dB","97.1%, 97.1%",{0.0.1.00000000}.{03a4892e-0557-4c39-b971-6c52f7d9eef1},Intel® Smart Sound Technology for Digital Microphones\Device\Microphone Array\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{03a4892e-0557-4c39-b971-6c52f7d9eef1}
