Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key
Microphone Boost,Subunit,Capture,Realtek(R) Audio,,,,,Yes,,7.1%,0.00 dB,30.00 dB,10.00 dB,1,10.00 dB,7.1%,{2}.\\?\intelaudio#func_01&ven_10ec&dev_0287&subsys_103c87c9&rev_1000#5&21befa87&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\rtmicintopo/00020001,Realtek(R) Audio\Subunit\Microphone Boost,,,,
Speaker,Device,Render,Realtek(R) Audio,,,,Active,No,-6.00 dB,66.9%,-65.25 dB,0.00 dB,0.03 dB,2,"-6.00 dB, -6.00 dB","66.9%, 66.9%",{0.0.0.00000000}.{ef1f22a4-d874-4aa6-940b-f05749e7c114},Realtek(R) Audio\Device\Speaker\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{ef1f22a4-d874-4aa6-940b-f05749e7c114}
Speakers,Device,Render,Logitech PRO X Wireless Gaming Headset,Render,Render,Render,Active,Yes,-15.13 dB,36.0%,-64.00 dB,0.00 dB,1.00 dB,1,-15.13 dB,36.0%,{0.0.0.00000000}.{1d0ef2bf-86ab-4424-92e8-f23b3bfff1eb},Logitech PRO X Wireless Gaming Headset\Device\Speakers\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{1d0ef2bf-86ab-4424-92e8-f23b3bfff1eb}
Speakers,Subunit,Render,Realtek(R) Audio,,,,,No,,50.1%,-65.25 dB,0.00 dB,0.03 dB,2,"-6.00 dB, -6.00 dB","50.1%, 50.1%",{2}.\\?\intelaudio#func_01&ven_10ec&dev_0287&subsys_103c87c9&rev_1000#5&21befa87&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\rearlineouttoposst/00020000,Realtek(R) Audio\Subunit\Speakers,,,,
Speakers,Subunit,Render,Realtek(R) Audio,,,,,No,,100.0%,-65.25 dB,0.00 dB,0.03 dB,2,"0.00 dB, 0.00 dB","100.0%, 100.0%",{2}.\\?\intelaudio#func_01&ven_10ec&dev_0287&subsys_103c87c9&rev_1000#5&21befa87&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\rearlineouttoposst3/00020000,Realtek(R) Audio\Subunit\Speakers,,,,
Stereo Mix,Device,Capture,Realtek(R) Audio,,,,Disabled,Yes,12.00 dB,100.0%,-17.25 dB,12.00 dB,0.03 dB,2,"12.00 dB, 12.00 dB","100.0%, 100.0%",{0.0.1.00000000}.{4f01300a-001c-4463-b195-2cfa8f114af5},Realtek(R) Audio\Device\Stereo Mix\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{4f01300a-001c-4463-b195-2cfa8f114af5}
System Sounds,Application,Render,Logitech PRO X Wireless Gaming Headset,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{f6036e6a-e1db-49b0-8813-057f5f06af9d}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Logitech PRO X Wireless Gaming Headset\Application\System Sounds,,,,
System Sounds,Application,Render,Logitech PRO X Wireless Gaming Headset,,,,,No,,100.0%,,,0.00 dB,4,,"100.0%, 100.0%, 100.0%, 100.0%",{0.0.1.00000000}.{03a4892e-0557-4c39-b971-6c52f7d9eef1}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Logitech PRO X Wireless Gaming Headset\Application\System Sounds,,,,
System Sounds,Application,Render,Logitech PRO X Wireless Gaming Headset,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{4f01300a-001c-4463-b195-2cfa8f114af5}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Logitech PRO X Wireless Gaming Headset\Application\System Sounds,,,,
System Sounds,Application,Render,Logitech PRO X Wireless Gaming Headset,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{ef1f22a4-d874-4aa6-940b-f05749e7c114}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Logitech PRO X Wireless Gaming Headset\Application\System Sounds,,,,
System Sounds,Application,Render,Logitech PRO X Wireless Gaming Headset,,,,,No,,100.0%,,,0.00 dB,8,,"100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%",{0.0.0.00000000}.{1d0ef2bf-86ab-4424-92e8-f23b3bfff1eb}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Logitech PRO X Wireless Gaming Headset\Application\System Sounds,,,,
System Sounds,Application,Render,Logitech PRO X Wireless Gaming Headset,,,,,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{c0bf1ea7-6984-4fc5-b450-4b496ec4d330}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Logitech PRO X Wireless Gaming Headset\Application\System Sounds,,,,
System Sounds,Application,Render,Logitech PRO X Wireless Gaming Headset,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{cdba6cef-7e4a-44c6-8cfc-8ae5a07181ef}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Logitech PRO X Wireless Gaming Headset\Application\System Sounds,,,,
Volume,Subunit,Render,Logitech PRO X Wireless Gaming Headset,,,,,No,,17.5%,-64.00 dB,0.00 dB,1.00 dB,1,-15.13 dB,17.5%,{2}.\\?\usb#vid_046d&pid_0aba&mi_00#8&30996b33&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020006,Logitech PRO X Wireless Gaming Headset\Subunit\Volume,,,,
